VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-CCI_8A4-0,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.0
C1-CCI_8A4-0,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),33.0
C1-CCI_8A4-0,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),4.16
C1-CCI_8A4-0,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),3.08
C1-CCI_8A4-0,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),180.0
C1-CCI_8A4-0,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),15.959999999999999
C1-CCI_8A4-0,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),10.16
C1-CCI_8A4-0,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),80.0
C1-CCI_8A4-0,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),6.0
C1-CCI_8A4-0,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),75.2
C1-CCI_8A4-0,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),7.0
C1-CCI_8A4-0,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),0.6000000000000001
C1-CCI_8A4-5,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),19.72
C1-CCI_8A4-5,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),24.0
C1-CCI_8A4-5,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),3.0
C1-CCI_8A4-5,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),0.04
C1-CCI_8A4-5,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),50.0
C1-CCI_8A4-5,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),4.5600000000000005
C1-CCI_8A4-5,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),2.4
C1-CCI_8A4-5,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),118.0
C1-CCI_8A4-5,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),10.719999999999999
C1-CCI_8A4-5,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),102.68
C1-CCI_8A4-5,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),4.0
C1-CCI_8A4-5,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),0.2
C1-CCI_8B3-0,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.08
C1-CCI_8B3-0,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),29.0
C1-CCI_8B3-0,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),5.000000000000001
C1-CCI_8B3-0,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),5.44
C1-CCI_8B3-0,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),167.0
C1-CCI_8B3-0,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),32.76
C1-CCI_8B3-0,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),18.68
C1-CCI_8B3-0,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),105.0
C1-CCI_8B3-0,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),21.96
C1-CCI_8B3-0,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),28.48
C1-CCI_8B3-0,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),28.0
C1-CCI_8B3-0,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),4.760000000000001
C1-CCI_8B3-5,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.0
C1-CCI_8B3-5,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),45.0
C1-CCI_8B3-5,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),7.08
C1-CCI_8B3-5,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),1.84
C1-CCI_8B3-5,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),120.0
C1-CCI_8B3-5,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),14.56
C1-CCI_8B3-5,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),17.32
C1-CCI_8B3-5,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),102.0
C1-CCI_8B3-5,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),12.2
C1-CCI_8B3-5,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),68.56
C1-CCI_8B3-5,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),7.0
C1-CCI_8B3-5,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),1.04
C1-CCI_8B4-0,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.0
