VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber1,rectangle,AVERAGE ROI VELOCITY (CM/S),1.6112473241046488
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),2.84
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber1,rectangle,MEAN ROI BOUT TIME (S),0.14
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber1,rectangle,ROI ENTRIES (COUNTS),40.0
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI MOVEMENT (CM),10.611914109266872
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI TIME (S),5.6000000000000005
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber2,rectangle,AVERAGE ROI VELOCITY (CM/S),5.020212446985258
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),5.96
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber2,rectangle,MEAN ROI BOUT TIME (S),0.22695652173913045
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber2,rectangle,ROI ENTRIES (COUNTS),138.0
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI MOVEMENT (CM),144.70070577268606
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI TIME (S),31.32
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber3,rectangle,AVERAGE ROI VELOCITY (CM/S),2.8484568759483957
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),12.6
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber3,rectangle,MEAN ROI BOUT TIME (S),0.16044444444444445
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber3,rectangle,ROI ENTRIES (COUNTS),90.0
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI MOVEMENT (CM),35.31084115004671
C1-CCI_8A4-0,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI TIME (S),14.440000000000001
C1-CCI_8A4-0,Animal_1,Tail_base,Top_half,rectangle,AVERAGE ROI VELOCITY (CM/S),
C1-CCI_8A4-0,Animal_1,Tail_base,Top_half,rectangle,FIRST ROI ENTRY TIME (S),
C1-CCI_8A4-0,Animal_1,Tail_base,Top_half,rectangle,MEAN ROI BOUT TIME (S),
C1-CCI_8A4-0,Animal_1,Tail_base,Top_half,rectangle,ROI ENTRIES (COUNTS),0.0
C1-CCI_8A4-0,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI MOVEMENT (CM),0.0
C1-CCI_8A4-0,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI TIME (S),0.0
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber1,rectangle,AVERAGE ROI VELOCITY (CM/S),0.7802911954247017
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),20.32
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber1,rectangle,MEAN ROI BOUT TIME (S),0.5375000000000001
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber1,rectangle,ROI ENTRIES (COUNTS),16.0
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI MOVEMENT (CM),3.82542181057967
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI TIME (S),8.600000000000001
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber2,rectangle,AVERAGE ROI VELOCITY (CM/S),0.05462225126137582
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),32.56
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber2,rectangle,MEAN ROI BOUT TIME (S),0.20555555555555557
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber2,rectangle,ROI ENTRIES (COUNTS),36.0
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI MOVEMENT (CM),0.201009884641863
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI TIME (S),7.4
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber3,rectangle,AVERAGE ROI VELOCITY (CM/S),0.4407703238903808
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),2.56
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber3,rectangle,MEAN ROI BOUT TIME (S),0.24172661870503592
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber3,rectangle,ROI ENTRIES (COUNTS),139.0
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI MOVEMENT (CM),5.815323894046362
C1-CCI_8A4-5,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI TIME (S),33.599999999999994
C1-CCI_8A4-5,Animal_1,Tail_base,Top_half,rectangle,AVERAGE ROI VELOCITY (CM/S),
C1-CCI_8A4-5,Animal_1,Tail_base,Top_half,rectangle,FIRST ROI ENTRY TIME (S),
