Mouse_ID,Treatment,Injury,Probe,Escape_latency_s
Vehicle_Naive_0mm_01,Vehicle,Naive,0mm,1.797
Vehicle_Naive_0mm_02,Vehicle,Naive,0mm,0.857
Vehicle_Naive_0mm_03,Vehicle,Naive,0mm,2.021
Vehicle_Naive_0mm_04,Vehicle,Naive,0mm,3.317
Vehicle_Naive_0mm_05,Vehicle,Naive,0mm,0.715
Vehicle_Naive_0mm_06,Vehicle,Naive,0mm,0.715
Vehicle_Naive_0mm_07,Vehicle,Naive,0mm,3.401
Vehicle_Naive_0mm_08,Vehicle,Naive,0mm,2.198
Vehicle_Naive_0mm_09,Vehicle,Naive,0mm,0.366
Vehicle_Naive_0mm_10,Vehicle,Naive,0mm,1.865
Vehicle_Naive_0mm_11,Vehicle,Naive,0mm,0.375
Vehicle_Naive_0mm_12,Vehicle,Naive,0mm,0.372
Vehicle_Naive_5mm_01,Vehicle,Naive,5mm,15.59
Vehicle_Naive_5mm_02,Vehicle,Naive,5mm,1.596
Vehicle_Naive_5mm_03,Vehicle,Naive,5mm,2.819
Vehicle_Naive_5mm_04,Vehicle,Naive,5mm,10.368
Vehicle_Naive_5mm_05,Vehicle,Naive,5mm,7.443
Vehicle_Naive_5mm_06,Vehicle,Naive,5mm,16.059
Vehicle_Naive_5mm_07,Vehicle,Naive,5mm,8.123
Vehicle_Naive_5mm_08,Vehicle,Naive,5mm,4.849
Vehicle_Naive_5mm_09,Vehicle,Naive,5mm,23.536
Vehicle_Naive_5mm_10,Vehicle,Naive,5mm,12.553
Vehicle_Naive_5mm_11,Vehicle,Naive,5mm,14.457
Vehicle_Naive_5mm_12,Vehicle,Naive,5mm,4.768
Vehicle_CCI_0mm_01,Vehicle,CCI,0mm,3.346
Vehicle_CCI_0mm_02,Vehicle,CCI,0mm,5.314
Vehicle_CCI_0mm_03,Vehicle,CCI,0mm,1.523
Vehicle_CCI_0mm_04,Vehicle,CCI,0mm,6.109
Vehicle_CCI_0mm_05,Vehicle,CCI,0mm,3.177
Vehicle_CCI_0mm_06,Vehicle,CCI,0mm,4.105
Vehicle_CCI_0mm_07,Vehicle,CCI,0mm,3.173
Vehicle_CCI_0mm_08,Vehicle,CCI,0mm,10.545
Vehicle_CCI_0mm_09,Vehicle,CCI,0mm,4.94
